,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,ice_cream,source,start_date,wikipedia,geometry,osm_type,addr:housename,building,building:levels,gambling,internet_access
290,,,147086863,1540389827,,"{""roof:colour"":""#d86"",""wheelchair"":""limited""}",7,,,,,,,,Multisala Supercinema,,,,,,cinema,,,,,,,"POLYGON ((7.632791 45.1326756, 7.6330093 45.1326232, 7.6330628 45.1325282, 7.6330558 45.1325137, 7.6330475 45.1325157, 7.6327485 45.1325874, 7.6325054 45.1326457, 7.6325124 45.1326602, 7.6326327 45.1329099, 7.6328759 45.1328516, 7.632791 45.1326756))",way,,yes,3,,
291,,,152333978,1330442374,,,1,,,,,,,,,,,,,,fountain,,,,,,,"POLYGON ((7.6736614 45.1023906, 7.673631 45.1023946, 7.673605 45.1024066, 7.6735872 45.1024257, 7.6735819 45.1024447, 7.673588 45.1024672, 7.673606 45.1024856, 7.6736332 45.1024975, 7.6736614 45.1025009, 7.6736888 45.102497, 7.6737147 45.1024851, 7.6737316 45.1024678, 7.6737381 45.1024463, 7.6737319 45.1024242, 7.6737169 45.102408, 7.6736891 45.1023946, 7.6736614 45.1023906))",way,,,,,
292,,,159512414,1553411672,,,4,Venaria Reale,IT,,,,Corso Puccini,,Teatro della Concordia,,,+39011 4241124,,https://www.teatrodellaconcordia.it/,theatre,,,,,,,"POLYGON ((7.6254755 45.1167268, 7.6254837 45.1164287, 7.6245802 45.1164164, 7.6245761 45.1165662, 7.624572 45.1167145, 7.6254755 45.1167268))",way,,yes,,,
293,,,159829933,1553412307,,,6,Ivrea,IT,3,10015,,Via Piave,,Cinema Politeama,,,+39 0125 641571,,https://politeamaivrea.wordpress.com/,cinema,,,,,,,"POLYGON ((7.8757892 45.4655671, 7.8762376 45.4655628, 7.8762386 45.4656964, 7.8757918 45.4657007, 7.8757905 45.4656338, 7.8757892 45.4655671))",way,,yes,,,
294,,,160609463,1605446779,,"{""wikidata"":""Q46499148""}",4,,,,,,,,Teatro Giacosa,,,,,,theatre,,,,,,,"POLYGON ((7.8772526 45.4679213, 7.877531 45.4679254, 7.8775351 45.4677883, 7.8775697 45.4677888, 7.8775723 45.4677041, 7.8775412 45.4677036, 7.8775445 45.467594, 7.8772625 45.4675898, 7.8772594 45.4676931, 7.877226 45.4676926, 7.8772234 45.4677781, 7.8772569 45.4677786, 7.8772526 45.4679213))",way,,yes,,,
295,,,160669921,1625489687,,,5,,,,,,,,Sala Santa Marta,,,,,,community_centre,,,,,,,"POLYGON ((7.87638 45.4676018, 7.8765122 45.4676046, 7.8765161 45.4675848, 7.8766474 45.467581, 7.8766835 45.4674348, 7.8764285 45.4674207, 7.8764274 45.4674934, 7.8763914 45.46749, 7.87638 45.4676018))",way,,civic,,,
296,,,160677742,1441793734,,,3,Ivrea,IT,69,10015,,Corso Massimo d'Azeglio,,Auditorium Mozart,,,,,,theatre,,,,,,,"POLYGON ((7.8845061 45.4690578, 7.8843376 45.4690155, 7.8842515 45.4689938, 7.8842767 45.4689447, 7.88429 45.4689187, 7.8843863 45.4687302, 7.884423 45.4686586, 7.8847316 45.4687362, 7.8845601 45.4690714, 7.8845061 45.4690578))",way,,yes,,,
297,,,172681435,1520854828,,"{""disused"":""yes""}",4,,,,,,,,Trento,,,,,,cinema,,,,,,,"POLYGON ((7.2230753 44.8217172, 7.2231023 44.8217581, 7.2229813 44.8218937, 7.222604 44.8217938, 7.2226255 44.8217113, 7.2226562 44.8217089, 7.222664 44.8216931, 7.2230753 44.8217172))",way,,yes,,,
298,,,177548431,1345972131,,,3,,,,,,,,Salone Polifunzionale di Samone Canavese,,,,,,community_centre,,,,,,,"POLYGON ((7.8418281 45.4509124, 7.841929 45.4509101, 7.8419247 45.4508154, 7.8421248 45.4508109, 7.8421103 45.4504926, 7.8419003 45.4504973, 7.8419105 45.450722, 7.8418195 45.450724, 7.8418281 45.4509124))",way,,civic,,,
299,,,178998233,1578409452,,,3,,,,,,,,,,,,,,fountain,no,,,,,,"POLYGON ((7.8788751 45.4656652, 7.8788676 45.4656665, 7.8788598 45.4656671, 7.878851 45.4656669, 7.8788412 45.4656655, 7.8788381 45.4656648, 7.8788281 45.4656617, 7.8788233 45.4656595, 7.8788193 45.4656573, 7.8788151 45.4656546, 7.878812 45.4656522, 7.878808 45.4656484, 7.8788041 45.4656436, 7.8788024 45.4656407, 7.8788011 45.4656381, 7.8787997 45.4656345, 7.8787989 45.4656311, 7.8787985 45.4656283, 7.8787984 45.4656254, 7.8787987 45.4656216, 7.8787995 45.4656178, 7.8788003 45.4656154, 7.8788018 45.4656119, 7.8788037 45.4656086, 7.8788061 45.4656053, 7.8788099 45.4656013, 7.8788145 45.4655974, 7.8788202 45.4655937, 7.878825 45.4655912, 7.8788321 45.4655884, 7.8788453 45.4655853, 7.8788522 45.4655846, 7.8788617 45.4655845, 7.8788698 45.4655854, 7.8788767 45.4655867, 7.8788814 45.465588, 7.8788894 45.4655911, 7.8788967 45.465595, 7.8788995 45.4655969, 7.8789062 45.4656026, 7.8789081 45.4656047, 7.8789112 45.4656088, 7.8789136 45.4656134, 7.8789154 45.4656185, 7.8789161 45.4656221, 7.8789163 45.4656268, 7.8789157 45.4656318, 7.8789144 45.4656364, 7.8789128 45.4656399, 7.8789107 45.4656433, 7.8789084 45.4656465, 7.8789056 45.4656496, 7.8789021 45.4656527, 7.8788995 45.4656547, 7.878896 45.465657, 7.8788896 45.4656604, 7.8788835 45.4656629, 7.8788795 45.4656641, 7.8788751 45.4656652))",way,,,,,
