,lat,timestamp,changeset,lon,id,version,tags,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,geometry,osm_type
97,,1376148520,,,186644453,4,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Riwal ceramica spa,"POLYGON ((10.8109258 44.5571621, 10.8107767 44.5571837, 10.8106431 44.5567143, 10.8107922 44.5566927, 10.8107331 44.5564852, 10.8106642 44.5562432, 10.8105826 44.5559567, 10.8086764 44.5562322, 10.8088469 44.5568314, 10.8088778 44.5569397, 10.8088863 44.5569697, 10.8086641 44.5570018, 10.8086937 44.5571056, 10.8086638 44.55711, 10.8087147 44.5572889, 10.8102002 44.5570742, 10.8102983 44.5574186, 10.8088075 44.5576341, 10.8088599 44.5578179, 10.8110235 44.5575051, 10.8109601 44.5572826, 10.8109258 44.5571621))",way
98,,1376148520,,,186644457,3,"{""building"":""industrial"",""building:level"":""1"",""disused"":""yes"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,KEREX srl,"POLYGON ((10.8117091 44.5578236, 10.8117372 44.5579098, 10.8117595 44.5579061, 10.8117661 44.5579264, 10.8118059 44.5579197, 10.8118118 44.5579379, 10.8118858 44.5579256, 10.8120243 44.5583166, 10.8126401 44.5582138, 10.8126237 44.5581635, 10.8128281 44.5581294, 10.8131496 44.5580757, 10.8131619 44.5581132, 10.8142168 44.5579372, 10.8140622 44.5574636, 10.8134534 44.5575652, 10.8134632 44.5575953, 10.8132087 44.5576378, 10.8131813 44.5575539, 10.8133217 44.5575305, 10.8133088 44.557491, 10.8119469 44.5577183, 10.8119579 44.5577518, 10.8118411 44.5577713, 10.8118505 44.5578, 10.8117626 44.5578147, 10.8117091 44.5578236))",way
99,,1365672589,,,186644459,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Laminam spa,"POLYGON ((10.814792 44.5650447, 10.8156519 44.5664738, 10.8161848 44.5663111, 10.816149 44.5662516, 10.8162932 44.5662075, 10.8163167 44.5662466, 10.8167857 44.5661034, 10.8167272 44.5660062, 10.8166954 44.5659533, 10.8165784 44.5657588, 10.8165489 44.5657098, 10.8168152 44.5656285, 10.8168525 44.5656904, 10.8169292 44.565818, 10.81701 44.5659523, 10.8178327 44.565701, 10.8172281 44.5646962, 10.8163971 44.56495, 10.8165605 44.5652215, 10.8162839 44.565306, 10.8159201 44.5647014, 10.8156335 44.5647889, 10.8154399 44.564848, 10.8154911 44.5649331, 10.8153234 44.5649843, 10.8152716 44.5648983, 10.814792 44.5650447))",way
100,,1365099497,,,186644478,2,"{""building"":""office"",""building:level"":""3"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,FAP Ceramiche,"POLYGON ((10.8117392 44.549231, 10.8117701 44.549249, 10.8117717 44.5493162, 10.8117017 44.5493897, 10.8116377 44.5493571, 10.8116102 44.5493432, 10.8114999 44.5492871, 10.8115772 44.5492234, 10.8116 44.5492046, 10.8116389 44.5491725, 10.8116636 44.5491869, 10.8117392 44.549231))",way
101,,1365355839,,,186644479,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""metal_construction"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Lb Officine Meccaniche Spa,"POLYGON ((10.8161428 44.5513095, 10.8160826 44.5513225, 10.8158885 44.5513639, 10.8159437 44.5514963, 10.8157131 44.5515454, 10.8154308 44.5508531, 10.8154586 44.5508462, 10.8154326 44.5507785, 10.8154016 44.5507847, 10.8151518 44.5501381, 10.8160338 44.5499502, 10.8161086 44.5501299, 10.8161246 44.5501265, 10.8161428 44.55017, 10.816162 44.5501659, 10.8162681 44.5504207, 10.8162372 44.5504273, 10.8163085 44.5505982, 10.8162764 44.5506051, 10.8162994 44.5506603, 10.8163188 44.5506562, 10.816615 44.5513669, 10.8165507 44.5513806, 10.8163722 44.5514186, 10.8163133 44.5512774, 10.8161428 44.5513095))",way
102,,1365331727,,,186644480,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Savoia Italia,"POLYGON ((10.8104693 44.5527672, 10.8103111 44.5522083, 10.8104224 44.5521923, 10.8103739 44.5520211, 10.8103067 44.5520307, 10.8102535 44.551843, 10.8103585 44.5518279, 10.8103379 44.551755, 10.810233 44.5517701, 10.8102265 44.551747, 10.8098789 44.5517969, 10.8094666 44.5518562, 10.8090242 44.5519198, 10.8086276 44.5519768, 10.8086305 44.5519871, 10.8086662 44.5521132, 10.8085767 44.5521261, 10.8086074 44.5522347, 10.8087423 44.5522153, 10.8087541 44.552257, 10.8082539 44.5523289, 10.8083088 44.5525229, 10.8083389 44.5526292, 10.8084459 44.5530073, 10.8087705 44.5529606, 10.8087829 44.5530045, 10.8098501 44.5528512, 10.8098588 44.5528818, 10.8100442 44.5528551, 10.8100369 44.5528294, 10.8104693 44.5527672))",way
103,,1376131494,,,186644482,6,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Emil Ceramica,"POLYGON ((10.8055256 44.5455815, 10.8056395 44.5460222, 10.8056019 44.5460272, 10.8056505 44.5462151, 10.8056921 44.5462096, 10.8058351 44.5467629, 10.8056603 44.546786, 10.8056971 44.5469284, 10.8055761 44.5469444, 10.8056239 44.5471294, 10.8059758 44.5470829, 10.8060116 44.5472213, 10.8063195 44.5471806, 10.8062582 44.5469435, 10.8063815 44.5469272, 10.8064615 44.5469166, 10.8064738 44.5469643, 10.8067335 44.54693, 10.8067226 44.5468882, 10.8068579 44.5468703, 10.8068804 44.5468672, 10.8071209 44.5468353, 10.8072245 44.5468217, 10.8072908 44.546813, 10.8074179 44.5467963, 10.807387 44.5466721, 10.8073417 44.5464902, 10.807211 44.5459656, 10.8071551 44.5457408, 10.8071466 44.5457068, 10.8070647 44.5453939, 10.8070636 44.5453897, 10.8070607 44.5453783, 10.807001 44.5453862, 10.8068895 44.545401, 10.8068663 44.5454041, 10.8063147 44.5454771, 10.8062977 44.5454794, 10.8055256 44.5455815))",way
104,,1383549175,,,186644484,5,"{""building"":""industrial"",""building:level"":""1"",""factory"":""hardwood floors"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Giacobazzi & C. Pavimenti in Legno,"POLYGON ((10.8154772 44.5609796, 10.8154666 44.5609614, 10.8154868 44.5609554, 10.8154672 44.5609219, 10.8154212 44.5609362, 10.8153924 44.5609452, 10.8152721 44.5609828, 10.8151075 44.5610342, 10.8150186 44.561062, 10.8148935 44.561101, 10.8147546 44.5611444, 10.8145867 44.5611968, 10.8144739 44.561232, 10.8146129 44.5614487, 10.8146596 44.5615285, 10.8147737 44.5614944, 10.8148202 44.5615738, 10.814957 44.5615329, 10.8149678 44.5615297, 10.815039 44.5616513, 10.8151779 44.5616098, 10.8153258 44.5615655, 10.8153528 44.5616116, 10.8156314 44.5615282, 10.8156229 44.5614697, 10.8157249 44.5614347, 10.8156655 44.5613463, 10.8154772 44.5609796))",way
105,,1394199641,,,186644486,4,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Ceramiche Settecento S.p.a.,"POLYGON ((10.8346838 44.5385535, 10.8349024 44.5385409, 10.8350827 44.5385308, 10.8350775 44.5384836, 10.8348975 44.5384937, 10.8348442 44.5380067, 10.834815 44.5377399, 10.834794 44.537741, 10.8347799 44.5376116, 10.8333867 44.5377025, 10.8333995 44.5378192, 10.8334043 44.537863, 10.8334356 44.5381486, 10.8333034 44.538156, 10.8333248 44.5383519, 10.8332943 44.5383536, 10.8333012 44.5384168, 10.8333289 44.5384152, 10.8333474 44.5385844, 10.8335364 44.5385738, 10.8336625 44.5385667, 10.8339684 44.5385496, 10.8343262 44.5385296, 10.8345928 44.5385146, 10.8345976 44.5385583, 10.8346838 44.5385535))",way
106,,1376140598,,,186644528,3,"{""building"":""industrial"",""factory"":""electric vibrators"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Italvibras G. Silingardi Spa,"POLYGON ((10.8117665 44.5462351, 10.8119057 44.5468712, 10.8121912 44.5468395, 10.8122426 44.5468338, 10.8126148 44.5467924, 10.8126552 44.5467879, 10.8132466 44.5467222, 10.8136602 44.5466762, 10.813521 44.5460401, 10.8117665 44.5462351))",way
107,,1365076493,,,186644673,2,"{""building"":""industrial"",""factory"":""metal_construction"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Cemic,"POLYGON ((10.8116499 44.5480592, 10.8118472 44.5480585, 10.8118464 44.5479626, 10.8116492 44.5479634, 10.8116499 44.5480592))",way
108,,1376121677,,,186644882,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""metal_construction"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,IMAS srl,"POLYGON ((10.8038468 44.5461272, 10.80386 44.5462394, 10.8045424 44.5461983, 10.8045292 44.546086, 10.8038468 44.5461272))",way
109,,1365099498,,,186644895,2,"{""building"":""industrial"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,FAP Ceramiche,"POLYGON ((10.8142772 44.5484471, 10.8143558 44.548904, 10.8148898 44.5488574, 10.8148111 44.5484005, 10.8142772 44.5484471))",way
